census_tract,Households,median_income_2010
"Census Tract 62, Hudson County, New Jersey!!Median income (dollars)!!Estimate","31,077",31077.0
"Census Tract 63, Hudson County, New Jersey!!Median income (dollars)!!Estimate","46,701",46701.0
"Census Tract 64, Hudson County, New Jersey!!Median income (dollars)!!Estimate","82,946",82946.0
"Census Tract 65, Hudson County, New Jersey!!Median income (dollars)!!Estimate","68,344",68344.0
"Census Tract 66, Hudson County, New Jersey!!Median income (dollars)!!Estimate","64,398",64398.0
"Census Tract 67, Hudson County, New Jersey!!Median income (dollars)!!Estimate","18,825",18825.0
"Census Tract 68, Hudson County, New Jersey!!Median income (dollars)!!Estimate","34,688",34688.0
"Census Tract 69, Hudson County, New Jersey!!Median income (dollars)!!Estimate","51,364",51364.0
"Census Tract 70, Hudson County, New Jersey!!Median income (dollars)!!Estimate","62,750",62750.0
"Census Tract 71, Hudson County, New Jersey!!Median income (dollars)!!Estimate","34,438",34438.0
"Census Tract 72, Hudson County, New Jersey!!Median income (dollars)!!Estimate","110,000",110000.0
"Census Tract 73, Hudson County, New Jersey!!Median income (dollars)!!Estimate","110,917",110917.0
"Census Tract 74, Hudson County, New Jersey!!Median income (dollars)!!Estimate","148,906",148906.0
"Census Tract 75, Hudson County, New Jersey!!Median income (dollars)!!Estimate","91,510",91510.0
"Census Tract 76, Hudson County, New Jersey!!Median income (dollars)!!Estimate","147,739",147739.0
"Census Tract 77, Hudson County, New Jersey!!Median income (dollars)!!Estimate","117,277",117277.0
"Census Tract 78, Hudson County, New Jersey!!Median income (dollars)!!Estimate","14,824",14824.0
"Census Tract 101, Hudson County, New Jersey!!Median income (dollars)!!Estimate","53,614",53614.0
"Census Tract 102, Hudson County, New Jersey!!Median income (dollars)!!Estimate","54,020",54020.0
"Census Tract 103, Hudson County, New Jersey!!Median income (dollars)!!Estimate","43,101",43101.0
"Census Tract 104, Hudson County, New Jersey!!Median income (dollars)!!Estimate","68,368",68368.0
"Census Tract 105, Hudson County, New Jersey!!Median income (dollars)!!Estimate","57,255",57255.0
"Census Tract 106, Hudson County, New Jersey!!Median income (dollars)!!Estimate","44,093",44093.0
"Census Tract 107, Hudson County, New Jersey!!Median income (dollars)!!Estimate","35,984",35984.0
"Census Tract 108, Hudson County, New Jersey!!Median income (dollars)!!Estimate","80,156",80156.0
"Census Tract 109, Hudson County, New Jersey!!Median income (dollars)!!Estimate","24,911",24911.0
"Census Tract 110, Hudson County, New Jersey!!Median income (dollars)!!Estimate","49,618",49618.0
"Census Tract 111, Hudson County, New Jersey!!Median income (dollars)!!Estimate","45,372",45372.0
"Census Tract 112, Hudson County, New Jersey!!Median income (dollars)!!Estimate","74,375",74375.0
"Census Tract 113, Hudson County, New Jersey!!Median income (dollars)!!Estimate","50,357",50357.0
"Census Tract 114, Hudson County, New Jersey!!Median income (dollars)!!Estimate","63,701",63701.0
"Census Tract 115, Hudson County, New Jersey!!Median income (dollars)!!Estimate","65,781",65781.0
"Census Tract 116, Hudson County, New Jersey!!Median income (dollars)!!Estimate","47,021",47021.0
"Census Tract 123, Hudson County, New Jersey!!Median income (dollars)!!Estimate","50,890",50890.0
"Census Tract 124, Hudson County, New Jersey!!Median income (dollars)!!Estimate","100,078",100078.0
"Census Tract 125, Hudson County, New Jersey!!Median income (dollars)!!Estimate","80,938",80938.0
"Census Tract 126, Hudson County, New Jersey!!Median income (dollars)!!Estimate","63,848",63848.0
"Census Tract 127, Hudson County, New Jersey!!Median income (dollars)!!Estimate","60,710",60710.0
"Census Tract 128, Hudson County, New Jersey!!Median income (dollars)!!Estimate","52,317",52317.0
"Census Tract 129, Hudson County, New Jersey!!Median income (dollars)!!Estimate","56,012",56012.0
"Census Tract 130, Hudson County, New Jersey!!Median income (dollars)!!Estimate","44,706",44706.0
"Census Tract 131, Hudson County, New Jersey!!Median income (dollars)!!Estimate","57,917",57917.0
"Census Tract 132, Hudson County, New Jersey!!Median income (dollars)!!Estimate","46,048",46048.0
"Census Tract 133, Hudson County, New Jersey!!Median income (dollars)!!Estimate","56,033",56033.0
"Census Tract 134, Hudson County, New Jersey!!Median income (dollars)!!Estimate","54,722",54722.0
"Census Tract 135, Hudson County, New Jersey!!Median income (dollars)!!Estimate","50,991",50991.0
"Census Tract 136, Hudson County, New Jersey!!Median income (dollars)!!Estimate","40,071",40071.0
"Census Tract 137, Hudson County, New Jersey!!Median income (dollars)!!Estimate","44,130",44130.0
"Census Tract 138, Hudson County, New Jersey!!Median income (dollars)!!Estimate","61,518",61518.0
"Census Tract 139, Hudson County, New Jersey!!Median income (dollars)!!Estimate","59,275",59275.0
"Census Tract 140, Hudson County, New Jersey!!Median income (dollars)!!Estimate","51,969",51969.0
"Census Tract 141.01, Hudson County, New Jersey!!Median income (dollars)!!Estimate","87,361",87361.0
"Census Tract 141.02, Hudson County, New Jersey!!Median income (dollars)!!Estimate","53,023",53023.0
"Census Tract 142, Hudson County, New Jersey!!Median income (dollars)!!Estimate","55,492",55492.0
"Census Tract 143, Hudson County, New Jersey!!Median income (dollars)!!Estimate","52,719",52719.0
"Census Tract 144, Hudson County, New Jersey!!Median income (dollars)!!Estimate","70,192",70192.0
"Census Tract 145.01, Hudson County, New Jersey!!Median income (dollars)!!Estimate","48,886",48886.0
"Census Tract 145.02, Hudson County, New Jersey!!Median income (dollars)!!Estimate","19,736",19736.0
"Census Tract 146, Hudson County, New Jersey!!Median income (dollars)!!Estimate","56,250",56250.0
"Census Tract 147, Hudson County, New Jersey!!Median income (dollars)!!Estimate","62,500",62500.0
"Census Tract 148, Hudson County, New Jersey!!Median income (dollars)!!Estimate","40,219",40219.0
"Census Tract 149, Hudson County, New Jersey!!Median income (dollars)!!Estimate","43,558",43558.0
"Census Tract 150.01, Hudson County, New Jersey!!Median income (dollars)!!Estimate","83,583",83583.0
"Census Tract 150.02, Hudson County, New Jersey!!Median income (dollars)!!Estimate","32,712",32712.0
"Census Tract 151, Hudson County, New Jersey!!Median income (dollars)!!Estimate","48,750",48750.0
"Census Tract 152.01, Hudson County, New Jersey!!Median income (dollars)!!Estimate","86,850",86850.0
"Census Tract 152.02, Hudson County, New Jersey!!Median income (dollars)!!Estimate","51,042",51042.0
"Census Tract 153, Hudson County, New Jersey!!Median income (dollars)!!Estimate","36,815",36815.0
"Census Tract 155, Hudson County, New Jersey!!Median income (dollars)!!Estimate","34,423",34423.0
"Census Tract 156, Hudson County, New Jersey!!Median income (dollars)!!Estimate","32,972",32972.0
"Census Tract 157, Hudson County, New Jersey!!Median income (dollars)!!Estimate","38,797",38797.0
"Census Tract 158.01, Hudson County, New Jersey!!Median income (dollars)!!Estimate","151,111",151111.0
"Census Tract 158.02, Hudson County, New Jersey!!Median income (dollars)!!Estimate","34,654",34654.0
"Census Tract 159, Hudson County, New Jersey!!Median income (dollars)!!Estimate","34,798",34798.0
"Census Tract 160, Hudson County, New Jersey!!Median income (dollars)!!Estimate","35,709",35709.0
"Census Tract 161, Hudson County, New Jersey!!Median income (dollars)!!Estimate","28,636",28636.0
"Census Tract 162, Hudson County, New Jersey!!Median income (dollars)!!Estimate","34,205",34205.0
"Census Tract 163, Hudson County, New Jersey!!Median income (dollars)!!Estimate","38,438",38438.0
"Census Tract 164, Hudson County, New Jersey!!Median income (dollars)!!Estimate","48,929",48929.0
"Census Tract 165, Hudson County, New Jersey!!Median income (dollars)!!Estimate","41,658",41658.0
"Census Tract 166, Hudson County, New Jersey!!Median income (dollars)!!Estimate","24,809",24809.0
"Census Tract 167, Hudson County, New Jersey!!Median income (dollars)!!Estimate","38,288",38288.0
"Census Tract 168, Hudson County, New Jersey!!Median income (dollars)!!Estimate","51,802",51802.0
"Census Tract 169, Hudson County, New Jersey!!Median income (dollars)!!Estimate","32,194",32194.0
"Census Tract 170, Hudson County, New Jersey!!Median income (dollars)!!Estimate","40,049",40049.0
"Census Tract 171, Hudson County, New Jersey!!Median income (dollars)!!Estimate","51,932",51932.0
"Census Tract 172, Hudson County, New Jersey!!Median income (dollars)!!Estimate","44,619",44619.0
"Census Tract 173, Hudson County, New Jersey!!Median income (dollars)!!Estimate","56,786",56786.0
"Census Tract 174, Hudson County, New Jersey!!Median income (dollars)!!Estimate","43,669",43669.0
"Census Tract 175, Hudson County, New Jersey!!Median income (dollars)!!Estimate","40,941",40941.0
"Census Tract 176, Hudson County, New Jersey!!Median income (dollars)!!Estimate","37,820",37820.0
"Census Tract 177, Hudson County, New Jersey!!Median income (dollars)!!Estimate","40,389",40389.0
"Census Tract 178, Hudson County, New Jersey!!Median income (dollars)!!Estimate","41,205",41205.0
"Census Tract 179, Hudson County, New Jersey!!Median income (dollars)!!Estimate","89,531",89531.0
"Census Tract 180, Hudson County, New Jersey!!Median income (dollars)!!Estimate","51,075",51075.0
"Census Tract 181, Hudson County, New Jersey!!Median income (dollars)!!Estimate","61,161",61161.0
"Census Tract 182, Hudson County, New Jersey!!Median income (dollars)!!Estimate","63,132",63132.0
"Census Tract 183.01, Hudson County, New Jersey!!Median income (dollars)!!Estimate","162,885",162885.0
"Census Tract 183.02, Hudson County, New Jersey!!Median income (dollars)!!Estimate","171,090",171090.0
"Census Tract 184, Hudson County, New Jersey!!Median income (dollars)!!Estimate","117,697",117697.0
"Census Tract 185, Hudson County, New Jersey!!Median income (dollars)!!Estimate","111,806",111806.0
"Census Tract 186, Hudson County, New Jersey!!Median income (dollars)!!Estimate","86,891",86891.0
"Census Tract 187.01, Hudson County, New Jersey!!Median income (dollars)!!Estimate","115,114",115114.0
"Census Tract 187.02, Hudson County, New Jersey!!Median income (dollars)!!Estimate","98,549",98549.0
"Census Tract 188, Hudson County, New Jersey!!Median income (dollars)!!Estimate","90,417",90417.0
"Census Tract 189, Hudson County, New Jersey!!Median income (dollars)!!Estimate","96,667",96667.0
"Census Tract 190, Hudson County, New Jersey!!Median income (dollars)!!Estimate","58,631",58631.0
"Census Tract 191, Hudson County, New Jersey!!Median income (dollars)!!Estimate","84,335",84335.0
"Census Tract 192, Hudson County, New Jersey!!Median income (dollars)!!Estimate","158,158",158158.0
"Census Tract 193, Hudson County, New Jersey!!Median income (dollars)!!Estimate","81,827",81827.0
"Census Tract 194, Hudson County, New Jersey!!Median income (dollars)!!Estimate","91,875",91875.0
"Census Tract 198, Hudson County, New Jersey!!Median income (dollars)!!Estimate","82,390",82390.0
"Census Tract 199, Hudson County, New Jersey!!Median income (dollars)!!Estimate","93,220",93220.0
"Census Tract 200, Hudson County, New Jersey!!Median income (dollars)!!Estimate","64,561",64561.0
"Census Tract 201, Hudson County, New Jersey!!Median income (dollars)!!Estimate","111,000",111000.0
"Census Tract 324, Hudson County, New Jersey!!Median income (dollars)!!Estimate","37,234",37234.0
"Census Tract 9801, Hudson County, New Jersey!!Median income (dollars)!!Estimate",-,
